stop_id,shelter,washroom,bike_rack,bench
01147,0,0,0,0
01146,0,0,0,0
01144,0,0,0,0
01131,0,0,0,0
01130,0,0,0,0
01123,0,0,0,0
01122,0,0,0,0
01120,0,0,0,0
01112,0,0,0,0
01006,0,0,0,0
00949,0,0,0,0
00945,0,0,0,0
00943,0,0,0,0
00942,0,0,0,0
00939,0,0,0,0
00933,0,0,0,0
00916,0,0,0,0
00915,0,0,0,0
00911,0,0,0,0
00910,0,0,0,0
00896,0,0,0,0
00895,0,0,0,0
00894,0,0,0,0
00892,0,0,0,0
00891,0,0,0,0
00886,0,0,0,0
00884,0,0,0,0
00883,0,0,0,0
00879,0,0,0,0
00870,0,0,0,0
00867,0,0,0,0
00863,0,0,0,0
00862,0,0,0,0
00820,0,0,0,0
00818,0,0,0,0
00816,0,0,0,0
00812,0,0,0,0
00810,0,0,0,0
00809,0,0,0,0
00808,0,0,0,0
00804,0,0,0,0
00723,0,0,0,0
00722,0,0,0,0
00721,0,0,0,0
00716,0,0,0,0
00711,0,0,0,0
00709,0,0,0,0
00708,0,0,0,0
00702,0,0,0,0
00694,0,0,0,0
00689,0,0,0,0
00681,0,0,0,0
00678,0,0,0,0
00677,0,0,0,0
00651,0,0,0,0
00645,0,0,0,0
00633,0,0,0,0
00623,0,0,0,0
00622,0,0,0,0
00602,0,0,0,0
00598,0,0,0,0
00594,0,0,0,0
00590,0,0,0,0
00588,0,0,0,0
00584,0,0,0,0
00576,0,0,0,0
00574,0,0,0,0
00554,0,0,0,0
00550,0,0,0,0
00546,0,0,0,0
00543,0,0,0,0
00541,0,0,0,0
00540,0,0,0,0
00537,0,0,0,0
00535,0,0,0,0
00534,0,0,0,0
00531,0,0,0,0
00522,0,0,0,0
00520,0,0,0,0
00515,0,0,0,0
00513,0,0,0,0
00512,0,0,0,0
00509,0,0,0,0
00462,0,0,0,0
00457,0,0,0,0
00453,0,0,0,0
00445,0,0,0,0
00441,0,0,0,0
00433,0,0,0,0
00428,0,0,0,0
00426,0,0,0,0
00418,0,0,0,0
00402,0,0,0,0
00350,1,1,1,0
00349,1,0,0,1
00342,0,0,0,0
00340,0,0,0,0
00337,0,0,0,0
00334,1,0,0,1
00332,0,0,0,0
00329,0,0,0,0
00328,0,0,0,0
00326,0,0,0,0
00325,0,0,0,0
00323,0,0,0,0
00322,0,0,0,0
00315,0,0,0,0
00314,0,0,0,0
00312,0,0,0,0
PA,0,0,0,0
00310,0,0,0,0
00307,0,0,0,0
00306,1,0,0,0
00303,0,0,0,0
00302,0,0,0,0
00300,0,0,0,0
00291,0,0,0,0
00257,0,0,0,0
00256,1,1,1,0
00250,0,0,0,0
00245,0,0,0,0
00244,0,0,0,0
00243,0,0,0,0
00238,0,0,0,0
00237,0,0,0,0
00232,0,0,0,0
00231,0,0,0,0
00227,0,0,0,0
00225,0,1,1,0
00223,0,0,0,0
00222,0,0,0,0
00218,0,0,0,0
00217,0,0,0,0
00216,0,0,0,0
00201,0,0,0,0
00200,0,0,0,0
00193,0,0,0,0
00192,0,0,0,0
00191,0,0,1,0
00174,0,0,0,0
00171,0,0,0,0
00170,0,0,0,0
00168,0,0,0,0
00166,0,0,0,0
00162,0,0,1,0
00158,1,0,0,0
00157,1,0,0,0
00154,0,0,0,0
00153,0,0,0,0
00151,0,0,0,0
00150,0,0,0,0
00144,0,0,0,0
00143,0,0,0,0
00142,0,0,0,0
00134,0,0,0,0
00133,1,1,1,0
00132,1,1,1,0
00124,1,0,1,0
00123,1,1,1,0
00116,0,0,0,0
00096,0,1,1,0
00090,0,0,0,0
00088,0,0,0,0
00084,0,0,0,0
00083,0,0,1,0
00079,0,0,0,0
00073,0,0,0,0
00066,0,0,0,0
00065,0,0,0,0
00064,0,0,0,0
00063,0,0,0,0
00053,0,0,0,0
00051,0,0,0,0
00044,0,0,0,0
00038,0,0,0,0
00035,0,0,0,0
00029,0,1,0,0
00027,0,0,0,0
00026,0,0,0,0
00025,0,0,0,0
00021,0,0,0,0
00020,0,0,1,0
00019,0,1,0,0
00015,0,0,0,0
00014,0,0,0,0
00013,1,1,1,0
00012,0,0,0,0
00011,0,1,1,0
00008,0,0,0,0
00006,0,0,0,0
00005,0,0,0,0
00001,0,1,1,0
KI,1,1,1,0
GL,1,1,1,0
AC,1,0,1,0
NI,0,1,1,0
SCTH,0,1,1,0
LS,0,1,1,0
ME,1,1,1,0
SR,1,1,1,0
ER,1,1,1,0
CO,0,0,1,0
DI,1,1,1,0
KP,1,1,0,0
ML,1,1,1,0
BA,1,1,1,0
BD,1,1,1,0
EA,1,1,1,0
NE,1,1,1,0
AU,1,1,1,0
KC,1,1,1,0
MP,1,1,1,0
RU,1,1,1,0
YO,1,0,1,0
RI,1,1,1,0
LA,1,1,1,0
OL,1,1,1,0
OR,1,1,1,0
LI,1,0,1,0
ST,1,1,1,0
MJ,1,1,1,0
MR,1,1,1,0
CE,1,0,1,0
UI,1,1,1,0
MK,1,1,1,0
AG,1,1,1,0
KE,1,0,1,0
GE,1,1,1,0
MO,1,1,1,0
BR,1,1,1,0
BE,1,1,1,0
MA,1,1,1,0
ET,1,1,1,0
WE,0,1,1,0
BL,0,1,1,0
OS,1,1,1,0
WH,1,0,1,0
AJ,1,0,1,0
PIN,1,0,1,0
PIS,1,1,1,1
RO,1,0,1,0
GU,1,1,1,0
EG,1,0,1,0
SC,1,1,1,0
DA,1,1,1,0
HA,1,1,1,0
AL,1,1,1,0
BU,1,1,1,0
AP,1,1,1,0
BO,1,1,1,0
OA,1,1,1,0
CL,1,1,1,0
PO,1,1,1,0
LO,1,1,1,0
MI,1,1,1,0
EX,1,0,1,0
UN,0,0,1,0
